Endpoint,IP
"tw-05.protonvpn.com","211.23.95.245"
"tw-06.protonvpn.com","211.23.95.246"
"tw-07.protonvpn.com","211.23.95.247"
"tw-08.protonvpn.com","211.23.95.248"
"tw-09.protonvpn.com","211.23.95.249"
"tw-10.protonvpn.com","211.23.95.250"
"tw-11.protonvpn.com","211.23.95.251"
"tw-12.protonvpn.com","211.23.95.252"
"ua-01.protonvpn.com","91.235.142.210"
"ua-02.protonvpn.com","91.235.142.211"
"ua-03.protonvpn.com","91.235.142.212"
"ua-04.protonvpn.com","91.235.142.213"
"ua-05.protonvpn.com","91.235.142.214"
"ua-06.protonvpn.com","91.235.142.215"
"ua-07.protonvpn.com","91.235.142.216"
"ua-08.protonvpn.com","91.235.142.217"
"uk-05.protonvpn.com","185.44.76.118"
"uk-06.protonvpn.com","185.44.76.119"
"uk-07.protonvpn.com","185.44.76.120"
"uk-08.protonvpn.com","185.44.76.121"
"uk-09.protonvpn.com","78.157.211.235"
"uk-10.protonvpn.com","78.157.211.236"
"uk-11.protonvpn.com","78.157.211.237"
"uk-12.protonvpn.com","78.157.211.238"
"uk-13.protonvpn.com","95.168.185.225"
"uk-14.protonvpn.com","95.168.185.239"
"uk-15.protonvpn.com","95.168.185.250"
"uk-16.protonvpn.com","95.168.185.251"
"uk-17.protonvpn.com","217.138.196.19"
"uk-18.protonvpn.com","217.138.196.20"
"uk-19.protonvpn.com","217.138.196.21"
"uk-20.protonvpn.com","217.138.196.22"
"uk-21.protonvpn.com","217.138.196.23"
"uk-22.protonvpn.com","217.138.196.24"
"uk-23.protonvpn.com","217.138.196.25"
"uk-24.protonvpn.com","217.138.196.26"
"us-az-01.protonvpn.com","199.187.209.27"
"us-az-02.protonvpn.com","199.187.209.28"
"us-az-03.protonvpn.com","199.187.209.29"
"us-az-04.protonvpn.com","199.187.209.30"
"us-ca-01.protonvpn.com","209.58.129.97"
"us-ca-02.protonvpn.com","209.58.129.98"
"us-ca-03.protonvpn.com","209.58.129.99"
"us-ca-04.protonvpn.com","209.58.129.100"
"us-ca-101.protonvpn.com","209.58.142.154"
"us-ca-102.protonvpn.com","209.58.142.155"
"us-ca-103.protonvpn.com","209.58.142.156"
"us-ca-104.protonvpn.com","209.58.142.157"
"us-ca-105.protonvpn.com","209.58.142.158"
"us-ca-106.protonvpn.com","209.58.142.159"
"us-ca-107.protonvpn.com","209.58.142.160"
"us-ca-108.protonvpn.com","209.58.142.161"
"us-ca-117.protonvpn.com","172.83.43.131"
"us-ca-118.protonvpn.com","172.83.43.132"
"us-ca-119.protonvpn.com","172.83.43.133"
"us-ca-120.protonvpn.com","172.83.43.134"
"us-ca-13.protonvpn.com","172.83.43.136"
"us-ca-14.protonvpn.com","172.83.43.137"
"us-ca-15.protonvpn.com","172.83.43.138"
"us-ca-16.protonvpn.com","172.83.43.139"
